,open,high,low,close,adjclose,volume,ticker
2021-01-04,375.30999755859375,375.45001220703125,364.82000732421875,368.7900085449219,349.4716491699219,110210800,SPY
2021-01-05,368.1000061035156,372.5,368.04998779296875,371.3299865722656,351.8785705566406,66426200,SPY
2021-01-06,369.7099914550781,376.9800109863281,369.1199951171875,373.54998779296875,353.9823303222656,107997700,SPY
2021-01-07,376.1000061035156,379.8999938964844,375.9100036621094,379.1000061035156,359.2416076660156,68766800,SPY
2021-01-08,380.5899963378906,381.489990234375,377.1000061035156,381.260009765625,361.2885437011719,71677200,SPY
2021-01-11,377.8500061035156,380.5799865722656,377.7200012207031,378.69000244140625,358.8529968261719,51034700,SPY
2021-01-12,378.8900146484375,379.8599853515625,376.3599853515625,378.7699890136719,358.9288635253906,52547700,SPY
2021-01-13,378.69000244140625,380.8599853515625,377.8500061035156,379.7900085449219,359.89544677734375,45303600,SPY
2021-01-14,380.5899963378906,381.1300048828125,378.1000061035156,378.4599914550781,358.6351318359375,49989100,SPY
2021-01-15,376.7200012207031,377.5799865722656,373.70001220703125,375.70001220703125,356.0196838378906,107160000,SPY
2021-01-19,378.3399963378906,379.2300109863281,376.75,378.6499938964844,358.815185546875,51233300,SPY
2021-01-20,381.1099853515625,384.7900085449219,380.69000244140625,383.8900146484375,363.7806396484375,61836100,SPY
2021-01-21,384.489990234375,384.95001220703125,383.25,384.239990234375,364.1123352050781,47840100,SPY
2021-01-22,382.25,384.1300048828125,381.8399963378906,382.8800048828125,362.8236083984375,52860500,SPY
2021-01-25,383.6700134277344,384.7699890136719,378.4599914550781,384.3900146484375,364.2544860839844,70402000,SPY
2021-01-26,385.4100036621094,385.8500061035156,383.5400085449219,383.7900085449219,363.6858825683594,42665300,SPY
2021-01-27,380.2200012207031,380.32000732421875,372.010009765625,374.4100036621094,354.7972412109375,123351100,SPY
2021-01-28,376.3599853515625,381.92999267578125,375.8900146484375,377.6300048828125,357.8486633300781,94198100,SPY
2021-01-29,375.6300048828125,376.6700134277344,368.2699890136719,370.07000732421875,350.68463134765625,126765100,SPY
2021-02-01,373.7200012207031,377.3399963378906,370.3800048828125,376.2300109863281,356.52191162109375,75817600,SPY
2021-02-02,379.6499938964844,383.2200012207031,376.32000732421875,381.54998779296875,361.563232421875,64450700,SPY
2021-02-03,382.44000244140625,383.70001220703125,380.4800109863281,381.8500061035156,361.8475646972656,52427100,SPY
2021-02-04,382.9599914550781,386.239990234375,381.9700012207031,386.19000244140625,365.9601745605469,47142600,SPY
2021-02-05,388.20001220703125,388.4700012207031,386.1400146484375,387.7099914550781,367.4006042480469,48669800,SPY
2021-02-08,389.2699890136719,390.55999755859375,388.3500061035156,390.510009765625,370.053955078125,38365200,SPY
2021-02-09,389.6099853515625,390.8900146484375,389.1700134277344,390.25,369.8075256347656,35551100,SPY
2021-02-10,392.1199951171875,392.2799987792969,387.5,390.0799865722656,369.6463928222656,59154400,SPY
2021-02-11,391.239990234375,391.69000244140625,388.1000061035156,390.7099914550781,370.2433776855469,42913300,SPY
2021-02-12,389.8500061035156,392.8999938964844,389.7699890136719,392.6400146484375,372.07232666015625,50593300,SPY
2021-02-16,393.9599914550781,394.1700134277344,391.5299987792969,392.29998779296875,371.7500915527344,50972400,SPY
2021-02-17,390.4200134277344,392.6600036621094,389.3299865722656,392.3900146484375,371.8354187011719,52290600,SPY
2021-02-18,389.5899963378906,391.5199890136719,387.739990234375,390.7200012207031,370.2528381347656,59712800,SPY
2021-02-19,392.07000732421875,392.3800048828125,389.54998779296875,390.0299987792969,369.59906005859375,83241000,SPY
2021-02-22,387.05999755859375,389.6199951171875,386.739990234375,387.0299987792969,366.7562255859375,67414200,SPY
2021-02-23,384.6600036621094,388.95001220703125,380.20001220703125,387.5,367.20159912109375,107284100,SPY
2021-02-24,386.3299865722656,392.2300109863281,385.2699890136719,391.7699890136719,371.24786376953125,72433900,SPY
2021-02-25,390.4100036621094,391.8800048828125,380.7799987792969,382.3299865722656,362.3023376464844,146670500,SPY
2021-02-26,384.3500061035156,385.5799865722656,378.2300109863281,380.3599853515625,360.435546875,152701600,SPY
2021-03-01,385.5899963378906,390.9200134277344,380.57000732421875,389.5799865722656,369.1726379394531,105348800,SPY
2021-03-02,389.82000732421875,390.07000732421875,386.0,386.5400085449219,366.2918395996094,79595300,SPY
2021-03-03,385.7900085449219,386.8299865722656,381.30999755859375,381.4200134277344,361.4400939941406,119940200,SPY
2021-03-04,381.2200012207031,384.0,371.8800048828125,376.70001220703125,356.9672546386719,183433000,SPY
2021-03-05,380.4599914550781,384.760009765625,372.6400146484375,383.6300048828125,363.5343322753906,152039600,SPY
2021-03-08,384.6600036621094,387.67999267578125,381.4200134277344,381.7200012207031,361.724365234375,123149200,SPY
2021-03-09,385.8500061035156,389.9100036621094,385.30999755859375,387.1700134277344,366.8888854980469,113633600,SPY
2021-03-10,389.69000244140625,391.3999938964844,388.1700134277344,389.5799865722656,369.1726379394531,109899400,SPY
2021-03-11,392.2300109863281,395.6499938964844,391.739990234375,393.5299987792969,372.915771484375,86245000,SPY
2021-03-12,392.07000732421875,394.2099914550781,391.20001220703125,394.05999755859375,373.4178466796875,64653600,SPY
2021-03-15,394.3299865722656,396.69000244140625,392.0299987792969,396.4100036621094,375.6448669433594,73427200,SPY
2021-03-16,397.07000732421875,397.8299865722656,395.0799865722656,395.9100036621094,375.1710205078125,73722500,SPY
2021-03-17,394.5299987792969,398.1199951171875,393.29998779296875,397.260009765625,376.45037841796875,97959300,SPY
2021-03-18,394.4800109863281,396.7200012207031,390.75,391.4800109863281,370.9731140136719,115349100,SPY
2021-03-19,389.8800048828125,391.57000732421875,387.1499938964844,389.4800109863281,370.2866516113281,113624500,SPY
2021-03-22,390.0299987792969,394.07000732421875,389.9700012207031,392.5899963378906,373.24346923828125,73778600,SPY
2021-03-23,391.9100036621094,393.4599914550781,388.6600036621094,389.5,370.3056945800781,90686600,SPY
2021-03-24,391.0,392.75,387.4700012207031,387.5199890136719,368.4232482910156,97588600,SPY
2021-03-25,385.9800109863281,390.54998779296875,383.8999938964844,389.70001220703125,370.495849609375,116128600,SPY
2021-03-26,390.92999267578125,396.4100036621094,390.2900085449219,395.9800109863281,376.4664001464844,114409100,SPY
2021-03-29,394.3999938964844,396.75,392.80999755859375,395.7799987792969,376.2762145996094,108107600,SPY
2021-03-30,394.4200134277344,395.45001220703125,393.0199890136719,394.7300109863281,375.2779235839844,76262200,SPY
2021-03-31,395.3399963378906,398.0,395.30999755859375,396.3299865722656,376.7991027832031,112734200,SPY
2021-04-01,398.3999938964844,400.6700134277344,398.17999267578125,400.6099853515625,380.86822509765625,99682900,SPY
2021-04-05,403.4599914550781,406.94000244140625,403.3800048828125,406.3599853515625,386.3348083496094,91684800,SPY
2021-04-06,405.760009765625,407.239990234375,405.3999938964844,406.1199951171875,386.1065979003906,62021000,SPY
2021-04-07,405.94000244140625,406.9599914550781,405.45001220703125,406.5899963378906,386.5534973144531,55836300,SPY
2021-04-08,407.92999267578125,408.5799865722656,406.92999267578125,408.5199890136719,388.388427734375,57863100,SPY
2021-04-09,408.3900146484375,411.6700134277344,408.260009765625,411.489990234375,391.2120361328125,61104600,SPY
2021-04-12,410.8500061035156,411.92999267578125,410.20001220703125,411.6400146484375,391.354736328125,56704900,SPY
2021-04-13,411.5299987792969,413.5299987792969,411.1199951171875,412.8599853515625,392.51446533203125,56551000,SPY
2021-04-14,412.8299865722656,413.9599914550781,410.8699951171875,411.45001220703125,391.17401123046875,61659900,SPY
2021-04-15,413.739990234375,416.1600036621094,413.69000244140625,415.8699951171875,395.3761291503906,60229800,SPY
2021-04-16,417.25,417.9100036621094,415.7300109863281,417.260009765625,396.6977233886719,82037300,SPY
2021-04-19,416.260009765625,416.739990234375,413.7900085449219,415.2099914550781,394.7487487792969,78498500,SPY
2021-04-20,413.9100036621094,415.0899963378906,410.5899963378906,412.1700134277344,391.8585510253906,81851800,SPY
2021-04-21,411.510009765625,416.2900085449219,411.3599853515625,416.07000732421875,395.56634521484375,66793000,SPY
2021-04-22,415.8900146484375,416.7799987792969,411.1300048828125,412.2699890136719,391.95361328125,97582800,SPY
2021-04-23,412.8699951171875,418.25,412.7900085449219,416.739990234375,396.2033386230469,73209200,SPY
2021-04-26,417.44000244140625,418.2200012207031,416.80999755859375,417.6099853515625,397.0304260253906,52182400,SPY
2021-04-27,417.92999267578125,418.1400146484375,416.29998779296875,417.5199890136719,396.9448547363281,51303100,SPY
2021-04-28,417.80999755859375,419.010009765625,416.8999938964844,417.3999938964844,396.8307800292969,51238900,SPY
2021-04-29,420.32000732421875,420.7200012207031,416.44000244140625,420.05999755859375,399.3597717285156,78544300,SPY
2021-04-30,417.6300048828125,418.5400085449219,416.3399963378906,417.29998779296875,396.7357177734375,85527000,SPY
2021-05-03,419.42999267578125,419.8399963378906,417.6700134277344,418.20001220703125,397.5913391113281,68128300,SPY
2021-05-04,416.07000732421875,416.6000061035156,411.6700134277344,415.6199951171875,395.138427734375,101591200,SPY
2021-05-05,417.3800048828125,417.6300048828125,415.1499938964844,415.75,395.2621154785156,60162200,SPY
2021-05-06,415.8299865722656,419.2099914550781,413.67999267578125,419.07000732421875,398.41851806640625,74321400,SPY
2021-05-07,419.8900146484375,422.82000732421875,419.1600036621094,422.1199951171875,401.31817626953125,67733800,SPY
2021-05-10,422.5,422.739990234375,417.80999755859375,417.94000244140625,397.3442077636719,81852400,SPY
2021-05-11,413.1000061035156,415.2699890136719,410.05999755859375,414.2099914550781,393.7979431152344,116888000,SPY
2021-05-12,411.2300109863281,412.5899963378906,404.0,405.4100036621094,385.431640625,134811000,SPY
2021-05-13,407.07000732421875,412.3500061035156,407.0199890136719,410.2799987792969,390.0616760253906,106394000,SPY
2021-05-14,413.2099914550781,417.489990234375,413.17999267578125,416.5799865722656,396.0511779785156,82201600,SPY
2021-05-17,415.3900146484375,416.3900146484375,413.3599853515625,415.5199890136719,395.04339599609375,65129200,SPY
2021-05-18,415.79998779296875,416.05999755859375,411.7699890136719,411.94000244140625,391.63983154296875,59810200,SPY
2021-05-19,406.9200134277344,411.04998779296875,405.3299865722656,410.8599853515625,390.613037109375,106467100,SPY
2021-05-20,411.79998779296875,416.6300048828125,411.6700134277344,415.2799987792969,394.8152160644531,78022200,SPY
2021-05-21,416.8699951171875,418.20001220703125,414.45001220703125,414.94000244140625,394.49200439453125,76578700,SPY
2021-05-24,417.3399963378906,420.32000732421875,417.0799865722656,419.1700134277344,398.5135803222656,51376700,SPY
2021-05-25,420.3299865722656,420.7099914550781,417.6199951171875,418.239990234375,397.6293640136719,57451400,SPY
2021-05-26,418.8699951171875,419.6099853515625,417.760009765625,419.07000732421875,398.41851806640625,43088600,SPY
2021-05-27,420.1700134277344,420.7200012207031,418.989990234375,419.2900085449219,398.627685546875,56707700,SPY
2021-05-28,420.9700012207031,421.25,419.7900085449219,420.0400085449219,399.3407287597656,58520200,SPY
2021-06-01,422.57000732421875,422.7200012207031,419.20001220703125,419.6700134277344,398.9889221191406,54216600,SPY
2021-06-02,420.3699951171875,421.2300109863281,419.2900085449219,420.3299865722656,399.6164245605469,49097100,SPY
2021-06-03,417.8500061035156,419.989990234375,416.2799987792969,418.7699890136719,398.13323974609375,58138800,SPY
2021-06-04,420.75,422.9200134277344,418.8399963378906,422.6000061035156,401.7745361328125,55938800,SPY
2021-06-07,422.5899963378906,422.7799987792969,421.19000244140625,422.19000244140625,401.38470458984375,51555000,SPY
2021-06-08,423.1099853515625,423.2099914550781,420.32000732421875,422.2799987792969,401.4703063964844,47134300,SPY
2021-06-09,423.17999267578125,423.260009765625,421.4100036621094,421.6499938964844,400.871337890625,48436300,SPY
2021-06-10,422.9599914550781,424.6300048828125,421.54998779296875,423.6099853515625,402.7347412109375,51020100,SPY
2021-06-11,424.20001220703125,424.42999267578125,422.82000732421875,424.30999755859375,403.4002380371094,45570800,SPY
2021-06-14,424.42999267578125,425.3699951171875,423.1000061035156,425.260009765625,404.3034973144531,42358500,SPY
2021-06-15,425.4200134277344,425.4599914550781,423.5400085449219,424.4800109863281,403.5618896484375,51508500,SPY
2021-06-16,424.6300048828125,424.8699951171875,419.9200134277344,422.1099853515625,401.30865478515625,80386100,SPY
2021-06-17,421.6700134277344,423.0199890136719,419.32000732421875,421.9700012207031,401.175537109375,90949700,SPY
2021-06-18,417.0899963378906,417.8299865722656,414.70001220703125,414.9200134277344,395.7635803222656,118676300,SPY
2021-06-21,416.79998779296875,421.05999755859375,415.92999267578125,420.8599853515625,401.42926025390625,72822000,SPY
2021-06-22,420.8500061035156,424.0,420.0799865722656,423.1099853515625,403.5754089355469,57700300,SPY
2021-06-23,423.19000244140625,424.04998779296875,422.510009765625,422.6000061035156,403.0890197753906,49445400,SPY
2021-06-24,424.8900146484375,425.54998779296875,424.6199951171875,425.1000061035156,405.47357177734375,45110300,SPY
2021-06-25,425.8999938964844,427.0899963378906,425.54998779296875,426.6099853515625,406.913818359375,58129500,SPY
2021-06-28,427.1700134277344,427.6499938964844,425.8900146484375,427.4700012207031,407.7341003417969,53159600,SPY
2021-06-29,427.8800048828125,428.55999755859375,427.1300048828125,427.70001220703125,407.9535217285156,35970500,SPY
2021-06-30,427.2099914550781,428.7799987792969,427.17999267578125,428.05999755859375,408.2969055175781,64827900,SPY
2021-07-01,428.8699951171875,430.6000061035156,428.79998779296875,430.42999267578125,410.5575256347656,53441000,SPY
2021-07-02,431.6700134277344,434.1000061035156,430.5199890136719,433.7200012207031,413.6955261230469,57697700,SPY
2021-07-06,433.7799987792969,434.010009765625,430.010009765625,432.92999267578125,412.9420471191406,68710400,SPY
2021-07-07,433.6600036621094,434.760009765625,431.510009765625,434.4599914550781,414.4013671875,63549500,SPY
2021-07-08,428.7799987792969,431.7300109863281,427.5199890136719,430.9200134277344,411.02490234375,97595200,SPY
2021-07-09,432.5299987792969,435.8399963378906,430.7099914550781,435.5199890136719,415.41241455078125,76238600,SPY
2021-07-12,435.42999267578125,437.3500061035156,434.9700012207031,437.0799865722656,416.90045166015625,52889600,SPY
2021-07-13,436.239990234375,437.8399963378906,435.30999755859375,435.5899963378906,415.4792175292969,52911300,SPY
2021-07-14,437.3999938964844,437.9200134277344,434.9100036621094,436.239990234375,416.0992126464844,64130400,SPY
2021-07-15,434.80999755859375,435.5299987792969,432.7200012207031,434.75,414.6780090332031,55126400,SPY
2021-07-16,436.010009765625,436.05999755859375,430.9200134277344,431.3399963378906,411.42547607421875,75874700,SPY
2021-07-19,426.19000244140625,431.4100036621094,421.9700012207031,424.9700012207031,405.3495178222656,147987000,SPY
2021-07-20,425.67999267578125,432.4200134277344,424.8299865722656,431.05999755859375,411.158447265625,99608200,SPY
2021-07-21,432.3399963378906,434.70001220703125,431.010009765625,434.54998779296875,414.48724365234375,64724400,SPY
2021-07-22,434.739990234375,435.7200012207031,433.69000244140625,435.4599914550781,415.35528564453125,47878500,SPY
2021-07-23,437.5199890136719,440.29998779296875,436.7900085449219,439.94000244140625,419.6283874511719,63766600,SPY
2021-07-26,439.30999755859375,441.0299987792969,439.260009765625,441.0199890136719,420.6585388183594,43719200,SPY
2021-07-27,439.9100036621094,439.94000244140625,435.989990234375,439.010009765625,418.74139404296875,67397100,SPY
2021-07-28,439.67999267578125,440.29998779296875,437.30999755859375,438.8299865722656,418.5696105957031,52472400,SPY
2021-07-29,439.82000732421875,441.79998779296875,439.80999755859375,440.6499938964844,420.3056335449219,47435300,SPY
2021-07-30,437.9100036621094,440.05999755859375,437.7699890136719,438.510009765625,418.2644348144531,68951200,SPY
2021-08-02,440.3399963378906,440.92999267578125,437.2099914550781,437.5899963378906,417.38690185546875,58783300,SPY
2021-08-03,438.44000244140625,441.2799987792969,436.1000061035156,441.1499938964844,420.78253173828125,58053900,SPY
2021-08-04,439.7799987792969,441.1199951171875,438.7300109863281,438.9800109863281,418.7127685546875,46732200,SPY
2021-08-05,440.2200012207031,441.8500061035156,439.8800048828125,441.760009765625,421.3643493652344,38969700,SPY
2021-08-06,442.1000061035156,442.94000244140625,441.79998779296875,442.489990234375,422.0606384277344,46930000,SPY
2021-08-09,442.4599914550781,442.79998779296875,441.30999755859375,442.1300048828125,421.71728515625,41222600,SPY
2021-08-10,442.6099853515625,443.44000244140625,441.8800048828125,442.67999267578125,422.24188232421875,43339300,SPY
2021-08-11,443.82000732421875,443.8800048828125,442.6199951171875,443.7799987792969,423.29107666015625,44034300,SPY
2021-08-12,443.6199951171875,445.260009765625,442.6600036621094,445.1099853515625,424.5597229003906,38909400,SPY
2021-08-13,445.5899963378906,445.94000244140625,445.07000732421875,445.9200134277344,425.33233642578125,39470300,SPY
2021-08-16,444.5299987792969,447.1099853515625,442.8699951171875,446.9700012207031,426.3338317871094,73740000,SPY
2021-08-17,444.239990234375,444.9599914550781,440.8500061035156,444.0400085449219,423.5390930175781,92673900,SPY
2021-08-18,442.9599914550781,444.6300048828125,438.9200134277344,439.17999267578125,418.90350341796875,89351900,SPY
2021-08-19,436.2699890136719,441.1400146484375,436.1199951171875,439.8599853515625,419.55206298828125,92812200,SPY
2021-08-20,440.2300109863281,443.7099914550781,439.7099914550781,443.3599853515625,422.8905334472656,72008700,SPY
2021-08-23,445.1600036621094,448.2300109863281,443.44000244140625,447.260009765625,426.61041259765625,54973000,SPY
2021-08-24,447.9700012207031,448.5400085449219,447.4200134277344,447.9700012207031,427.28765869140625,38744700,SPY
2021-08-25,448.1700134277344,449.4599914550781,447.7699890136719,448.9100036621094,428.1842346191406,40529700,SPY
2021-08-26,448.6099853515625,448.8599853515625,446.1600036621094,446.260009765625,425.6566467285156,57829600,SPY
2021-08-27,447.1199951171875,450.6499938964844,447.05999755859375,450.25,429.46240234375,77235100,SPY
2021-08-30,450.9700012207031,453.07000732421875,450.7099914550781,452.2300109863281,431.35101318359375,48357400,SPY
2021-08-31,452.1300048828125,452.489990234375,450.9200134277344,451.55999755859375,430.7118835449219,59300200,SPY
2021-09-01,452.55999755859375,453.1099853515625,451.54998779296875,451.79998779296875,430.9408264160156,48721400,SPY
2021-09-02,453.32000732421875,454.04998779296875,451.9100036621094,453.19000244140625,432.26666259765625,42501000,SPY
2021-09-03,451.9800109863281,453.6300048828125,451.54998779296875,453.0799865722656,432.1617431640625,47170500,SPY
2021-09-07,452.7099914550781,452.80999755859375,450.739990234375,451.4599914550781,430.6165466308594,51671500,SPY
2021-09-08,450.8900146484375,451.6700134277344,448.8599853515625,450.9100036621094,430.09185791015625,56181900,SPY
2021-09-09,450.70001220703125,452.57000732421875,448.7200012207031,448.9800109863281,428.2510070800781,57970400,SPY
2021-09-10,451.0400085449219,451.489990234375,445.30999755859375,445.44000244140625,424.8744812011719,89948200,SPY
2021-09-13,448.6400146484375,448.9200134277344,444.1099853515625,446.5799865722656,425.96185302734375,83738600,SPY
2021-09-14,448.1199951171875,448.3399963378906,443.2200012207031,444.1700134277344,423.6631164550781,78197100,SPY
2021-09-15,444.6199951171875,448.4100036621094,443.44000244140625,447.8800048828125,427.2018127441406,78792200,SPY
2021-09-16,447.32000732421875,448.3599853515625,444.0199890136719,447.1700134277344,426.5246276855469,77786700,SPY
2021-09-17,444.9200134277344,445.3699951171875,441.0199890136719,441.3999938964844,422.3698425292969,118425000,SPY
2021-09-20,434.8800048828125,436.55999755859375,428.8599853515625,434.0400085449219,415.3271484375,166445500,SPY
2021-09-21,436.5299987792969,437.9100036621094,433.07000732421875,433.6300048828125,414.93475341796875,92526100,SPY
2021-09-22,436.04998779296875,440.0299987792969,433.75,437.8599853515625,418.9823913574219,102350100,SPY
2021-09-23,439.8500061035156,444.8900146484375,439.6000061035156,443.17999267578125,424.07305908203125,76396000,SPY
2021-09-24,441.44000244140625,444.6700134277344,441.2099914550781,443.9100036621094,424.7715759277344,62094800,SPY
2021-09-27,442.80999755859375,444.04998779296875,441.8999938964844,442.6400146484375,423.55633544921875,61371100,SPY
2021-09-28,439.69000244140625,440.0400085449219,432.94000244140625,433.7200012207031,415.0208740234375,130436300,SPY
